Level,Date and Time,Source,Event ID,Task Category,
Information,1/24/2020 13:02,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

8.8.8.8
"
Information,1/24/2020 13:02,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

31.13.79.53
"
Information,1/24/2020 12:59,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

98.138.219.232
"
Information,1/24/2020 12:56,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

104.47.16.17
"
Information,1/24/2020 12:55,Microsoft-Windows-DNS-Server-Service,5501,None,"The description for Event ID 5501 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

185.28.194.194
"
Information,1/24/2020 12:54,Microsoft-Windows-DNS-Server-Service,5501,None,"The description for Event ID 5501 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

69.171.239.12
"
Information,1/24/2020 12:52,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

207.253.227.22
"
Information,1/24/2020 12:52,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

216.18.168.70
"
Information,1/24/2020 12:48,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

212.120.160.130
"
Information,1/24/2020 12:46,Microsoft-Windows-DNS-Server-Service,5504,None,"The description for Event ID 5504 from source Microsoft-Windows-DNS-Server-Service cannot be found. Either the component that raises this event is not installed on your local computer or the installation is corrupted. You can install or repair the component on the local computer.

If the event originated on another computer, the display information had to be saved with the event.

The following information was included with the event: 

52.220.198.205
"
